target,fold,seed,logloss,mean,std
Q1,0,42,0.6370734416671479,0.5897099095137782,0.03196038521783468
Q1,1,42,0.5835644990350427,0.5897099095137782,0.03196038521783468
Q1,2,42,0.5051067114207957,0.5897099095137782,0.03196038521783468
Q1,3,42,0.6197496345072493,0.5897099095137782,0.03196038521783468
Q1,4,42,0.5925649301598767,0.5897099095137782,0.03196038521783468
Q1,0,1234,0.5956206060478525,0.5897099095137782,0.03196038521783468
Q1,1,1234,0.5717735414898045,0.5897099095137782,0.03196038521783468
Q1,2,1234,0.5822348866483444,0.5897099095137782,0.03196038521783468
Q1,3,1234,0.6078875073274329,0.5897099095137782,0.03196038521783468
Q1,4,1234,0.5717389668638441,0.5897099095137782,0.03196038521783468
Q1,0,9999,0.5348710092741207,0.5897099095137782,0.03196038521783468
Q1,1,9999,0.64040854258115,0.5897099095137782,0.03196038521783468
Q1,2,9999,0.5935877826266709,0.5897099095137782,0.03196038521783468
Q1,3,9999,0.5964760094205167,0.5897099095137782,0.03196038521783468
Q1,4,9999,0.5846707417661092,0.5897099095137782,0.03196038521783468
Q1,0,7,0.6218489063014917,0.5897099095137782,0.03196038521783468
Q1,1,7,0.5612446074758206,0.5897099095137782,0.03196038521783468
Q1,2,7,0.6507746361245637,0.5897099095137782,0.03196038521783468
Q1,3,7,0.6043139567375694,0.5897099095137782,0.03196038521783468
Q1,4,7,0.6089506686995113,0.5897099095137782,0.03196038521783468
Q1,0,314,0.6142643336403806,0.5897099095137782,0.03196038521783468
Q1,1,314,0.618468919283493,0.5897099095137782,0.03196038521783468
Q1,2,314,0.5967102022853982,0.5897099095137782,0.03196038521783468
Q1,3,314,0.5902169151197751,0.5897099095137782,0.03196038521783468
Q1,4,314,0.6212866582006532,0.5897099095137782,0.03196038521783468
Q1,0,2025,0.6055546657761683,0.5897099095137782,0.03196038521783468
Q1,1,2025,0.6080467374877823,0.5897099095137782,0.03196038521783468
Q1,2,2025,0.6261506004958476,0.5897099095137782,0.03196038521783468
Q1,3,2025,0.668542254612249,0.5897099095137782,0.03196038521783468
Q1,4,2025,0.575025746110514,0.5897099095137782,0.03196038521783468
Q1,0,777,0.6386035565613228,0.5897099095137782,0.03196038521783468
