target,fold,seed,logloss,mean,std
Q1,0,42,0.6725161750493571,0.5908299119646745,0.034081864995688875
Q1,1,42,0.5735648634649337,0.5908299119646745,0.034081864995688875
Q1,2,42,0.528647159634897,0.5908299119646745,0.034081864995688875
Q1,3,42,0.6042700024910326,0.5908299119646745,0.034081864995688875
Q1,4,42,0.5751513591831519,0.5908299119646745,0.034081864995688875
Q1,0,1234,0.5968965752198637,0.5908299119646745,0.034081864995688875
Q1,1,1234,0.5746352326217778,0.5908299119646745,0.034081864995688875
Q1,2,1234,0.6075672824444874,0.5908299119646745,0.034081864995688875
Q1,3,1234,0.5889303960134421,0.5908299119646745,0.034081864995688875
Q1,4,1234,0.586120073523801,0.5908299119646745,0.034081864995688875
Q1,0,9999,0.5269068229117229,0.5908299119646745,0.034081864995688875
Q1,1,9999,0.639415273949939,0.5908299119646745,0.034081864995688875
Q1,2,9999,0.5857234909092167,0.5908299119646745,0.034081864995688875
Q1,3,9999,0.6087427354566771,0.5908299119646745,0.034081864995688875
Q1,4,9999,0.5933612365958165,0.5908299119646745,0.034081864995688875
Q1,0,7,0.5970494326868101,0.5908299119646745,0.034081864995688875
Q1,1,7,0.49717755337433245,0.5908299119646745,0.034081864995688875
Q1,2,7,0.6598744407567054,0.5908299119646745,0.034081864995688875
Q1,3,7,0.6092514069082712,0.5908299119646745,0.034081864995688875
Q1,4,7,0.5907967260972529,0.5908299119646745,0.034081864995688875
Q1,0,314,0.5951118153068492,0.5908299119646745,0.034081864995688875
Q1,1,314,0.5924433513463817,0.5908299119646745,0.034081864995688875
Q1,2,314,0.5708558310363503,0.5908299119646745,0.034081864995688875
Q1,3,314,0.5857421484131772,0.5908299119646745,0.034081864995688875
Q1,4,314,0.6099964137206138,0.5908299119646745,0.034081864995688875
Q1,0,2025,0.57925369037136,0.5908299119646745,0.034081864995688875
Q1,1,2025,0.5694890355938071,0.5908299119646745,0.034081864995688875
Q1,2,2025,0.5818172650898432,0.5908299119646745,0.034081864995688875
Q1,3,2025,0.6606898236432638,0.5908299119646745,0.034081864995688875
Q1,4,2025,0.562899745125098,0.5908299119646745,0.034081864995688875
Q1,0,777,0.6186080045789287,0.5908299119646745,0.034081864995688875
Q1,1,777,0.555401046018444,0.5908299119646745,0.034081864995688875
Q1,2,777,0.6210768485054653,0.5908299119646745,0.034081864995688875
Q1,3,777,0.5869992169840752,0.5908299119646745,0.034081864995688875
Q1,4,777,0.5720644437364588,0.5908299119646745,0.034081864995688875
Q1,0,555,0.6067721905660814,0.5908299119646745,0.034081864995688875
Q1,1,555,0.5832987656105659,0.5908299119646745,0.034081864995688875
Q1,2,555,0.5525457121141211,0.5908299119646745,0.034081864995688875
Q1,3,555,0.6302866132417368,0.5908299119646745,0.034081864995688875
Q1,4,555,0.5812462782908668,0.5908299119646745,0.034081864995688875
Q2,0,42,0.5613115419605155,0.5854955567099238,0.030557460740682253
Q2,1,42,0.5797833427818249,0.5854955567099238,0.030557460740682253
Q2,2,42,0.5680331068968899,0.5854955567099238,0.030557460740682253
Q2,3,42,0.5697739586644988,0.5854955567099238,0.030557460740682253
Q2,4,42,0.6485758332458901,0.5854955567099238,0.030557460740682253
Q2,0,1234,0.5558277967606572,0.5854955567099238,0.030557460740682253
Q2,1,1234,0.5690526420263494,0.5854955567099238,0.030557460740682253
Q2,2,1234,0.6409801780645609,0.5854955567099238,0.030557460740682253
Q2,3,1234,0.550245289782577,0.5854955567099238,0.030557460740682253
Q2,4,1234,0.6113718769154747,0.5854955567099238,0.030557460740682253
Q2,0,9999,0.5510843469200977,0.5854955567099238,0.030557460740682253
